Split,Image path,Label
Train,/content/real_vs_fake/real-vs-fake/train/fake/NOWD1AQHQ4.jpg,1
Train,/content/real_vs_fake/real-vs-fake/train/fake/Z8BW7KG3F7.jpg,1
Train,/content/real_vs_fake/real-vs-fake/train/fake/MRN54LOXIH.jpg,1
Train,/content/real_vs_fake/real-vs-fake/train/fake/4TAX0MI49K.jpg,1
Train,/content/real_vs_fake/real-vs-fake/train/fake/BPZMI11WGB.jpg,1
Train,/content/real_vs_fake/real-vs-fake/train/fake/CT71O75ZYN.jpg,1
Train,/content/real_vs_fake/real-vs-fake/train/fake/AKRZHFB5G8.jpg,1
Train,/content/real_vs_fake/real-vs-fake/train/fake/7OUBA73EJ3.jpg,1
Train,/content/real_vs_fake/real-vs-fake/train/real/43619.jpg,0
Train,/content/real_vs_fake/real-vs-fake/train/real/22235.jpg,0
Train,/content/real_vs_fake/real-vs-fake/train/fake/RKV62LTLKV.jpg,1
Train,/content/real_vs_fake/real-vs-fake/train/real/46122.jpg,0
Train,/content/real_vs_fake/real-vs-fake/train/fake/ERH7R0I1AN.jpg,1
Train,/content/real_vs_fake/real-vs-fake/train/fake/D67HTF3OZM.jpg,1
Train,/content/real_vs_fake/real-vs-fake/train/fake/YWDD9LREQW.jpg,1
Train,/content/real_vs_fake/real-vs-fake/train/fake/83O116RZXX.jpg,1
Train,/content/real_vs_fake/real-vs-fake/train/fake/LE4NINFHG7.jpg,1
Train,/content/real_vs_fake/real-vs-fake/train/real/53680.jpg,0
Train,/content/real_vs_fake/real-vs-fake/train/real/54657.jpg,0
Train,/content/real_vs_fake/real-vs-fake/train/fake/EKXXRV9ABY.jpg,1
Train,/content/real_vs_fake/real-vs-fake/train/fake/F3O8BYRLRG.jpg,1
Train,/content/real_vs_fake/real-vs-fake/train/real/04610.jpg,0
Train,/content/real_vs_fake/real-vs-fake/train/fake/332N0DEGZC.jpg,1
Train,/content/real_vs_fake/real-vs-fake/train/fake/4DY8HE7TCE.jpg,1
Train,/content/real_vs_fake/real-vs-fake/train/fake/C9UJCMZ2JT.jpg,1
Train,/content/real_vs_fake/real-vs-fake/train/real/44603.jpg,0
Train,/content/real_vs_fake/real-vs-fake/train/real/19548.jpg,0
Train,/content/real_vs_fake/real-vs-fake/train/real/05014.jpg,0
Train,/content/real_vs_fake/real-vs-fake/train/real/52300.jpg,0
Train,/content/real_vs_fake/real-vs-fake/train/real/20455.jpg,0
Train,/content/real_vs_fake/real-vs-fake/train/fake/S1Q2VKS7P7.jpg,1
Train,/content/real_vs_fake/real-vs-fake/train/real/65691.jpg,0
Train,/content/real_vs_fake/real-vs-fake/train/real/38762.jpg,0
Train,/content/real_vs_fake/real-vs-fake/train/real/50330.jpg,0
Train,/content/real_vs_fake/real-vs-fake/train/real/55909.jpg,0
Train,/content/real_vs_fake/real-vs-fake/train/fake/PEV5Q7YPF9.jpg,1
Train,/content/real_vs_fake/real-vs-fake/train/fake/WZG61X0IBQ.jpg,1
Train,/content/real_vs_fake/real-vs-fake/train/fake/3RFV1G6J24.jpg,1
Train,/content/real_vs_fake/real-vs-fake/train/fake/AJ0CPH07BQ.jpg,1
Train,/content/real_vs_fake/real-vs-fake/train/fake/1XJ7R68SX4.jpg,1
Train,/content/real_vs_fake/real-vs-fake/train/fake/XR9VTUU60J.jpg,1
Train,/content/real_vs_fake/real-vs-fake/train/fake/BWC3FPU5K8.jpg,1
Train,/content/real_vs_fake/real-vs-fake/train/fake/K4YALLET60.jpg,1
Train,/content/real_vs_fake/real-vs-fake/train/fake/RDFWDYOQQ0.jpg,1
Train,/content/real_vs_fake/real-vs-fake/train/fake/3DU75Z1520.jpg,1
Train,/content/real_vs_fake/real-vs-fake/train/real/25592.jpg,0
Train,/content/real_vs_fake/real-vs-fake/train/real/55837.jpg,0
Train,/content/real_vs_fake/real-vs-fake/train/fake/OSSKSAX3N7.jpg,1
Train,/content/real_vs_fake/real-vs-fake/train/real/68579.jpg,0
Train,/content/real_vs_fake/real-vs-fake/train/fake/JFI0LBTVLN.jpg,1
Train,/content/real_vs_fake/real-vs-fake/train/real/09333.jpg,0
Train,/content/real_vs_fake/real-vs-fake/train/fake/FSSFBF3K3P.jpg,1
Train,/content/real_vs_fake/real-vs-fake/train/real/04969.jpg,0
Train,/content/real_vs_fake/real-vs-fake/train/fake/UGH8EVYKDF.jpg,1
Train,/content/real_vs_fake/real-vs-fake/train/real/18088.jpg,0
Train,/content/real_vs_fake/real-vs-fake/train/real/52625.jpg,0
Train,/content/real_vs_fake/real-vs-fake/train/fake/HIL4ZAOJW0.jpg,1
Train,/content/real_vs_fake/real-vs-fake/train/real/10178.jpg,0
Train,/content/real_vs_fake/real-vs-fake/train/fake/NGDRK8YPKL.jpg,1
Train,/content/real_vs_fake/real-vs-fake/train/real/51120.jpg,0
Train,/content/real_vs_fake/real-vs-fake/train/fake/B5P4DMNCR4.jpg,1
Train,/content/real_vs_fake/real-vs-fake/train/fake/VGKQEXIEXU.jpg,1
Train,/content/real_vs_fake/real-vs-fake/train/fake/PTAQGALPN1.jpg,1
Train,/content/real_vs_fake/real-vs-fake/train/real/59556.jpg,0
Train,/content/real_vs_fake/real-vs-fake/train/real/52245.jpg,0
Train,/content/real_vs_fake/real-vs-fake/train/real/03355.jpg,0
Train,/content/real_vs_fake/real-vs-fake/train/real/17917.jpg,0
Train,/content/real_vs_fake/real-vs-fake/train/fake/P2U8CCU7IP.jpg,1
Train,/content/real_vs_fake/real-vs-fake/train/fake/JE6466Q4AO.jpg,1
Train,/content/real_vs_fake/real-vs-fake/train/fake/18W42L137I.jpg,1
Train,/content/real_vs_fake/real-vs-fake/train/real/60433.jpg,0
Train,/content/real_vs_fake/real-vs-fake/train/fake/PW69T3GR4N.jpg,1
Train,/content/real_vs_fake/real-vs-fake/train/real/52548.jpg,0
Train,/content/real_vs_fake/real-vs-fake/train/fake/VVQNF0VFHO.jpg,1
Train,/content/real_vs_fake/real-vs-fake/train/fake/Z6XNZ4NV4H.jpg,1
Train,/content/real_vs_fake/real-vs-fake/train/fake/6FSLDO5J3X.jpg,1
Train,/content/real_vs_fake/real-vs-fake/train/real/52710.jpg,0
Train,/content/real_vs_fake/real-vs-fake/train/fake/JJ5ZQ4VKHH.jpg,1
Train,/content/real_vs_fake/real-vs-fake/train/real/64009.jpg,0
Train,/content/real_vs_fake/real-vs-fake/train/real/49672.jpg,0
Train,/content/real_vs_fake/real-vs-fake/train/fake/YBGKT208Z1.jpg,1
Train,/content/real_vs_fake/real-vs-fake/train/real/50673.jpg,0
Train,/content/real_vs_fake/real-vs-fake/train/fake/4PJKKKIUGF.jpg,1
Train,/content/real_vs_fake/real-vs-fake/train/fake/KNVAEPMU8L.jpg,1
Train,/content/real_vs_fake/real-vs-fake/train/fake/F7JFAMN2L1.jpg,1
Train,/content/real_vs_fake/real-vs-fake/train/real/53885.jpg,0
Train,/content/real_vs_fake/real-vs-fake/train/real/64683.jpg,0
Train,/content/real_vs_fake/real-vs-fake/train/real/31060.jpg,0
Train,/content/real_vs_fake/real-vs-fake/train/real/58615.jpg,0
Train,/content/real_vs_fake/real-vs-fake/train/real/21074.jpg,0
Train,/content/real_vs_fake/real-vs-fake/train/fake/7LKGY45PV3.jpg,1
Train,/content/real_vs_fake/real-vs-fake/train/fake/XZ2HGBQU52.jpg,1
Train,/content/real_vs_fake/real-vs-fake/train/real/45568.jpg,0
Train,/content/real_vs_fake/real-vs-fake/train/fake/CNVZ2FBTKX.jpg,1
Train,/content/real_vs_fake/real-vs-fake/train/real/62134.jpg,0
Train,/content/real_vs_fake/real-vs-fake/train/fake/DWVNUAWJSS.jpg,1
Train,/content/real_vs_fake/real-vs-fake/train/real/25120.jpg,0
Train,/content/real_vs_fake/real-vs-fake/train/fake/05UDSL63F9.jpg,1
Train,/content/real_vs_fake/real-vs-fake/train/real/03264.jpg,0
Train,/content/real_vs_fake/real-vs-fake/train/fake/SKR5HUWGFB.jpg,1
Train,/content/real_vs_fake/real-vs-fake/train/real/45731.jpg,0
Train,/content/real_vs_fake/real-vs-fake/train/fake/BSC3LHJ9C1.jpg,1
Train,/content/real_vs_fake/real-vs-fake/train/real/27093.jpg,0
Train,/content/real_vs_fake/real-vs-fake/train/real/03550.jpg,0
Train,/content/real_vs_fake/real-vs-fake/train/fake/7C19958IM6.jpg,1
Train,/content/real_vs_fake/real-vs-fake/train/fake/DMBDWKOJH3.jpg,1
Train,/content/real_vs_fake/real-vs-fake/train/real/44220.jpg,0
Train,/content/real_vs_fake/real-vs-fake/train/fake/E8KVBDBIE7.jpg,1
Train,/content/real_vs_fake/real-vs-fake/train/real/49579.jpg,0
Train,/content/real_vs_fake/real-vs-fake/train/real/46681.jpg,0
Train,/content/real_vs_fake/real-vs-fake/train/fake/U3F4BRHDAN.jpg,1
Train,/content/real_vs_fake/real-vs-fake/train/real/08780.jpg,0
Train,/content/real_vs_fake/real-vs-fake/train/fake/SY8MLCCUVY.jpg,1
Train,/content/real_vs_fake/real-vs-fake/train/real/44182.jpg,0
Train,/content/real_vs_fake/real-vs-fake/train/fake/4VF33HH17H.jpg,1
Train,/content/real_vs_fake/real-vs-fake/train/fake/UO40M80CEN.jpg,1
Train,/content/real_vs_fake/real-vs-fake/train/fake/SRO31706IG.jpg,1
Train,/content/real_vs_fake/real-vs-fake/train/real/29134.jpg,0
Train,/content/real_vs_fake/real-vs-fake/train/fake/4332283IXB.jpg,1
Train,/content/real_vs_fake/real-vs-fake/train/fake/1XMJRT2XJ3.jpg,1
Train,/content/real_vs_fake/real-vs-fake/train/real/60158.jpg,0
Train,/content/real_vs_fake/real-vs-fake/train/fake/ZLRKC0GSMN.jpg,1
Train,/content/real_vs_fake/real-vs-fake/train/real/28054.jpg,0
Train,/content/real_vs_fake/real-vs-fake/train/real/50207.jpg,0
Train,/content/real_vs_fake/real-vs-fake/train/fake/3IPWU9G5YW.jpg,1
Train,/content/real_vs_fake/real-vs-fake/train/fake/86MGYBCP21.jpg,1
Train,/content/real_vs_fake/real-vs-fake/train/fake/H1IRRDDNOA.jpg,1
Train,/content/real_vs_fake/real-vs-fake/train/real/67966.jpg,0
Train,/content/real_vs_fake/real-vs-fake/train/real/24470.jpg,0
